year,month,rank_ME,rank_IA,rank_ROE,nstocks,ret_vw,retx_vw
1968,9,1,1,3,58,5.5766,5.4361
1968,9,1,2,1,84,5.4851,5.3311
1968,9,1,2,2,63,6.3490,6.2036
1968,9,1,2,3,46,8.2467,8.1311
1968,9,1,3,1,69,10.5557,10.4987
1968,9,1,3,2,61,7.4238,7.3425
1968,9,1,3,3,83,6.5037,6.3946
1968,9,2,1,1,30,8.8211,8.6792
1968,9,2,1,2,45,6.2738,6.1930
1968,9,2,1,3,21,5.2340,5.2112
1968,9,2,2,1,39,6.2383,6.0020
1968,9,2,2,2,99,3.3994,3.2267
1968,9,2,2,3,65,2.3892,2.2530
1968,9,2,3,1,29,11.1311,11.0515
1968,9,2,3,2,60,4.8287,4.7509
1968,9,2,3,3,65,1.4525,1.4021
1968,10,1,1,1,142,-1.2100,-1.2915
1968,10,1,1,2,76,2.9691,2.7857
1968,10,1,1,3,57,0.3777,0.2953
1968,10,1,2,1,81,0.8147,0.7143
1968,10,1,2,2,64,1.9661,1.7267
1968,10,1,2,3,48,0.7249,0.5165
1968,10,1,3,1,69,-1.8975,-1.9500
1968,10,1,3,2,60,-0.2936,-0.4243
1968,10,1,3,3,83,0.9393,0.8480
1968,10,2,1,1,31,2.4796,2.3495
1968,10,2,1,2,44,1.9557,1.6519
1968,10,2,1,3,21,5.0572,4.8675
1968,10,2,2,1,39,0.9906,0.8775
1968,10,2,2,2,101,1.7950,1.6088
1968,10,2,2,3,63,0.6007,0.4767
1968,10,2,3,1,29,0.5383,0.3066
1968,10,2,3,2,57,0.0295,-0.0777
1968,10,2,3,3,68,-3.3360,-3.5439
1968,11,1,1,1,147,5.8854,5.4997
1968,11,1,1,2,67,8.0111,7.6901
1968,11,1,1,3,64,11.9329,11.7460
1968,11,1,2,1,81,7.9242,7.5669
1968,11,1,2,2,65,7.7140,7.4393
1968,11,1,2,3,51,7.6762,7.5021
1968,11,1,3,1,70,7.3226,7.1162
1968,11,1,3,2,52,9.0363,8.8287
1968,11,1,3,3,90,7.6196,7.5294
1968,11,2,1,1,30,6.9611,6.7802
1968,11,2,1,2,47,3.9235,3.3517
1968,11,2,1,3,19,-1.2864,-2.7318
1968,11,2,2,1,41,6.8534,6.5109
1968,11,2,2,2,108,5.7739,5.2700
1968,11,2,2,3,55,6.9518,6.6223
1968,11,2,3,1,20,7.1071,6.8274
1968,11,2,3,2,61,5.6592,5.3634
1968,11,2,3,3,76,6.7371,6.5765
1968,12,1,1,1,152,1.0407,0.8541
1968,12,1,1,2,66,-0.4578,-0.7312
1968,12,1,1,3,63,2.2191,1.9565
1968,12,1,2,1,80,-0.5870,-0.7312
1968,12,1,2,2,63,-1.3961,-1.5506
1968,12,1,2,3,53,-1.5516,-1.7114
1968,12,1,3,1,65,-1.5109,-1.5907
1968,12,1,3,2,57,-0.6063,-0.7273
1968,12,1,3,3,92,-1.7750,-1.8921
1968,12,2,1,1,30,-1.2960,-1.5149
1968,12,2,1,2,48,-2.0238,-2.1285
1968,12,2,1,3,18,-2.3636,-2.3806
1968,12,2,2,1,46,-2.1865,-2.3306
1968,12,2,2,2,108,-3.7777,-3.9885
1968,12,2,2,3,50,-4.7951,-4.8545
1968,12,2,3,1,17,-5.1475,-5.2434
1968,12,2,3,2,59,-4.6421,-4.7504
1968,12,2,3,3,81,-5.1054,-5.1904
1969,1,1,1,1,152,-1.1020,-1.1867
1969,1,1,1,2,64,-2.1597,-2.2987
